,name,Name_Matched
48,Wouter Beek,Q57418773
50,Monica Paramita,Q91430206
52,Wolf-Tilo Balke,Q62415794
53,Sylvain Kubler,Q61159862
55,Guohui Xiao,Q44607571
58,Yuan-Fang Li,Q59687872
59,Peter Boncz,Q27916323
60,Klaus Berberich,Q42362192
67,Diego Moussallem,Q93957484
72,Myriam Lamolle,Q20961888
85,Ognjen Savkovic,Q102633581
87,Djellel Difallah,Q104290608
88,Piotr Krysta,Q102337578
92,Debanjan Chaudhuri,Q106522309
99,Fernando Florenzano,Q93046478
101,Xu Qixin,Q45473729
105,Koninika Pal,Q103066808
119,Changjian Wang,Q91453811
124,Christian Aebeloe,Q64360425
133,Vishwajeet Kumar,Q114319064
146,Gu Jinguang,Q65889257
152,Muhao Chen,Q90286117
8,Stefano Faralli,Q57699244
24,Maria Maleshkova,Q59844388
27,Deborah L. McGuinness,Q5248328
28,Emmanuel Pietriga,Q83180516
29,David Shotton,Q28913576
35,Enrico Gallinucci,Q62067024
37,Stefano Rizzi,Q57919439
39,Matteo Golfarelli,Q62067023
40,Paola Velardi,Q56331825
41,Silvana Castano,Q57063840
43,Caroline Appert,Q89559549
44,Muhammad Intizar Ali,Q60655078
45,Diego Collarana,Q110518597
47,Ioana Manolescu,Q54554753
49,Barbara Poblete,Q102734731
55,Andrea Mannocci,Q96608320
58,Antonio Pizzolante,Q117250842
62,Ivan Yermilov,Q54877396
68,Julius Gonsior,Q109366325
69,Adrian Bielefeldt,Q109631929
71,Sabbir M. Rashid,Q100995137
80,Martin Côté,Q97069962
88,Lorenzo Mosca,Q56469342
89,Cristian Vaccari,Q107961569
93,Lars Heling,Q97097391
95,Dominic Oldman,Q30112522
96,Diana Tănase,Q114374298
98,Marie Destandau,Q104245512
0,Diego Calvanese,Q57193328
1,Torben Bach Pedersen,Q54855029
6,Angela Bonifati,Q114747409
7,Katja Hose,Q21264190
9,Rainer Gemulla,Q39160786
10,Arnaud Soulet,Q98969811
25,Federico Bianchi,Q54806646
26,Fariz Darari,Q61852199
37,Thomas Pellissier Tanon,Q24075199
40,Maarten de Rijke,Q6721195
41,Christian Meilicke,Q49625647
42,Marie-Christine Rousset,Q33113307
43,Alessandro Bozzon,Q57966538
44,Lei Zhang,Q65382850
52,Vadim Savenkov,Q61048485
53,Elena Botoeva,Q62058580
60,Zhang Weinan,Q65812291
62,Walid G. Aref,Q102317295
